0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
Emissary,L'emissario,,Q2855,1,721,"1,2",4 gennaio 1993,1993-01-04,Star Trek: Deep Space Nine,Q11337,1,Emissary,Q3507140,Emissary (episode),"Der Abgesandte, Teil I",,,KO
Past Prologue,Il terrorista,Die Khon-Ma,Q6975,1,404,3,11 gennaio 1993,1993-01-11,Star Trek: Deep Space Nine,Q11337,3,Past Prologue,Q3507056,Past Prologue (episode),Die Kohn-Ma,,404,
A Man Alone,Uno strano delitto,Unter Verdacht,Q112,1,403,4,18 gennaio 1993,1993-01-18,Star Trek: Deep Space Nine,Q11337,4,A Man Alone,Q3507090,A Man Alone (episode),Unter Verdacht,,403,
Babel (dsn005),Il virus di Babele,Babel,Q951,1,405,5,25 gennaio 1993,1993-01-25,Star Trek: Deep Space Nine,Q11337,5,Babel,Q3507025,Babel (episode),Babel (DS9),,405,
Captive Pursuit,La preda,"Tosk, der Gejagte",Q1572,1,406,6,1 febbraio 1993,1993-02-01,Star Trek: Deep Space Nine,Q11337,6,Captive Pursuit,Q5036940,Captive Pursuit (episode),"Tosk, der Gejagte",,406,
Q-Less,Per amore di Q,"""Q"" - Unerwünscht",Q7322,1,407,7,8 febbraio 1993,1993-02-08,Star Trek: Deep Space Nine,Q11337,7,Q-Less,Q7265274,Q-Less (episode),"""Q"" – Unerwünscht",,407,
Dax (episodio),Il passato di Dax,Der Fall,Q2372,1,408,8,13 febbraio 1993,1993-02-13,Star Trek: Deep Space Nine,Q11337,8,Dax,Q5242724,Dax (episode),Der Fall „Dax“,,408,
The Passenger,Il clandestino,Der Parasit,Q9211,1,409,9,22 febbraio 1993,1993-02-22,Star Trek: Deep Space Nine,Q11337,9,The Passenger,Q7756243,The Passenger (episode),Der Parasit,,409,
Move Along Home,Il gioco dei Wadi,"Chula, das Spiel",Q6503,1,410,10,15 marzo 1993,1993-03-15,Star Trek: Deep Space Nine,Q11337,10,Move Along Home,Q6926483,Move Along Home (episode),Chula – Das Spiel,,410,
The Nagus,Nagus per un giorno,Die Nachfolge,Q35,1,411,11,22 marzo 1993,1993-03-22,Star Trek: Deep Space Nine,Q11337,11,The Nagus,Q7753005,The Nagus (episode),Die Nachfolge,,411,
Vortex,La chiave vivente,Der Steinwandler,Q9937,1,412,12,19 aprile 1993,1993-04-19,Star Trek: Deep Space Nine,Q11337,12,Vortex,Q7941907,Vortex (episode),Der Steinwandler,,412,
Battle Lines,Guerra per sempre,Die Prophezeihung,Q1125,1,413,13,26 aprile 1993,1993-04-26,Star Trek: Deep Space Nine,Q11337,13,Battle Lines,Q4870070,Battle Lines (episode),Die Prophezeiung (DS9),,413,
The Storyteller,Colui che racconta,Die Legende vom Dal'Rok,Q9254,1,414,14,3 maggio 1993,1993-05-03,Star Trek: Deep Space Nine,Q11337,14,The Storyteller,Q7766854,The Storyteller (episode),Die Legende von Dal'Rok,,414,
