"0-Titolo pagina","1-DataTrek Item",2-HTPaginaID,3-HTSezioneID,4-HTPaginaTag,5-HTPaginaElaboarata,6-HTMAPage,7-HTOriginale,8-HTimdbID,"9-Data stellare"
"Barkon IV",Q1000,4054,150,barkon4,"22 aprile 2018 21:14:28",,,,
"Web of the Romulans",Q10000,10797,53,webromulans,"13 maggio 2018 12:47:34",,,,
Webb,Q10001,6880,115,webb,"22 aprile 2018 16:17:32",Webb,,,
Weiss,Q10002,9697,215,weiss,"22 aprile 2018 16:17:44",Weiss_%28hologram%29,,,
"Weld Ram",Q10003,10405,115,weldram,"22 aprile 2018 16:17:48",Weld_Ram,,,
Weldon,Q10004,9077,115,weldon,"22 aprile 2018 16:17:41",Weldon,,,
"Wendy Hughes",Q10006,8047,183,hugheswendy,"20 maggio 2018 20:34:30",,,,
"Wendy Rathbone",Q10007,4672,193,rathbonewendy,"20 maggio 2018 16:21:15",,,,
"Wendy Robie",Q10008,8651,193,robiewendy,"20 maggio 2018 20:34:38",,,,
"Wendy Schall",Q10009,9299,194,schallwendy,"20 maggio 2018 20:34:49",,,,
Barkoniani,Q1001,5050,122,barkoniani,"13 maggio 2018 12:23:20",,,,
"Wendy Schenker",Q10010,8661,194,schenkerwendy,"20 maggio 2018 20:34:38",,,,
"Wendy Speake",Q10011,9808,194,speakewendy,"20 maggio 2018 20:34:56",,,,
"Wesley Crusher",Q10012,2152,95,crusherwesley,"22 aprile 2018 16:17:19",Wesley_Crusher,,,
West,Q10013,10172,115,west,"22 aprile 2018 16:17:45",West,,,
Westervliet,Q10014,6127,115,westervliet,"22 aprile 2018 16:17:27",Westervliet,,,
Weyoun,Q10015,1787,115,weyoun,"22 aprile 2018 16:17:13",Weyoun,,,
Whalen,Q10016,1786,115,whalen,"22 aprile 2018 16:17:13",Whalen,,,
"What Are Little Girls Made Of?",Q10017,2913,18,tos10,"7 aprile 2018 16:50:14",What_Are_Little_Girls_Made_Of%253F_%28episode%29,,tt0708486,2712.4
"What You Leave Behind - Part I",Q10018,2554,1,dsn175,"2 aprile 2018 21:04:39",,,,
"What You Leave Behind - Part II",Q10019,2555,1,dsn176,"2 aprile 2018 21:04:39",,,,
Barnaby,Q1002,2238,94,barnaby,"22 aprile 2018 16:17:20",,,,
Whatley,Q10021,3265,115,whatley,"22 aprile 2018 16:17:27",Whatley,,,
Wheeler,Q10022,9066,115,wheeler,"22 aprile 2018 16:17:41",Wheeler,,,
"When it Rains...",Q10023,2550,1,dsn171,"2 aprile 2018 21:04:39",,,,
"When the Bough Breaks",Q10024,2571,21,tng017,"2 aprile 2018 21:04:40",,,,41509.1
"Where No Man Has Gone Before",Q10025,2905,18,tos02,"7 aprile 2018 16:50:13",Where_No_Man_Has_Gone_Before_%28episode%29,,tt0061027,1312.4
"Where No One Has Gone Before",Q10026,2560,21,tng006,"2 aprile 2018 21:04:39",Where_No_One_Has_Gone_Before_%28episode%29,,tt0708842,41263.1
"Where Silence Has Lease",Q10027,2582,21,tng028,"2 aprile 2018 21:04:40",Where_Silence_Has_Lease,,tt0708843,42193.6
"Whiskey di Aldebaran",Q10028,5855,203,whiskeyaldebaran,"27 maggio 2018 13:13:56",,,,
Whispers,Q10029,2414,1,dsn034,"2 aprile 2018 21:04:35",,,,47552.1
Barnhart,Q1003,2197,94,barnhart,"22 aprile 2018 16:17:20",Barnhart,,,
"Whit Bissell",Q10030,6965,177,bissellwhit,"20 maggio 2018 17:00:47",,,,
White,Q10031,3266,115,white,"22 aprile 2018 16:17:27",White,,,
"Whitney Rydbeck",Q10032,7430,193,rydbeckwhitney,"20 maggio 2018 17:00:55",,,,
"Who Mourns for Adonais?",Q10033,2936,18,tos33,"7 aprile 2018 16:50:17",,,tt0708488,3468.1
"Who Mourns for Morn?",Q10034,2515,1,dsn136,"2 aprile 2018 21:04:38",,,,
"Who Watches the Watchers?",Q10035,2606,21,tng052,"2 aprile 2018 21:04:41",,,,43173.5
"Whom Gods Destroy",Q10036,2974,18,tos71,"7 aprile 2018 16:50:20",,,tt0708489,5718.3
"Whoopi Goldberg",Q10037,1184,182,goldbergwhoopi,"20 maggio 2018 16:20:55",,,nm0000155,
"Wil Wheaton",Q10038,1714,198,wheatonwil,"20 maggio 2018 16:21:11",,,nm0000696,
"Wilda Taylor",Q10039,6194,195,taylorwilda,"20 maggio 2018 17:00:32",,,,
"Barradas III",Q1004,4053,150,barradas3,"22 aprile 2018 21:14:28",,,,
"Willard Decker",Q10041,3034,96,deckerwillard,"22 aprile 2018 16:17:21",Willard_Decker,,,
"Willard Sage",Q10042,6136,194,sagewillard,"20 maggio 2018 17:00:31",,,,
"William A. Wallace",Q10043,7221,198,wallacewilliama,"20 maggio 2018 17:00:51",,,,
"William Bastiani",Q10044,7937,177,bastianiwilliam,"20 maggio 2018 20:34:27",,,,
"William Blackburn",Q10045,936,177,blackburnwilliam,"20 maggio 2018 16:20:48",,,nm1028189,
"William Boyett",Q10046,950,177,boyettwilliam,"20 maggio 2018 16:20:48",,,nm0102123,
"William Bramley",Q10047,6974,177,bramleywilliam,"20 maggio 2018 17:00:47",,,,
"William Campbell",Q10048,991,178,campbellwilliam,"20 maggio 2018 16:20:49",,,nm0132930,
"William Chapman",Q10049,2167,95,chapmanwilliam,"22 aprile 2018 16:17:19",William_Chapman,,,
"Barrie Ingham",Q1005,7434,184,inghambarrie,"20 maggio 2018 17:00:55",,,,
"William Couch",Q10050,7499,178,couchwilliam,"20 maggio 2018 17:00:57",,,nm0183228,
"William Denis",Q10051,7607,179,deniswilliam,"20 maggio 2018 17:00:59",,,,
"William Dennis Hunt",Q10052,8736,183,huntwilliamdennis,"20 maggio 2018 20:34:39",,,,
"William Douglas Lansford",Q10053,1112,187,douglaslansfordwilliam,"20 maggio 2018 16:20:53",,,nm0487091,
"William F. Phillips",Q10054,9880,191,phillipswilliamf,"20 maggio 2018 20:34:58",,,nm0680892,
"William Frankfather",Q10055,8620,181,frankfatherwilliam,"20 maggio 2018 20:34:37",,,,
"William Glover",Q10056,7797,182,gloverwilliam,"20 maggio 2018 20:34:24",,,,
"William Hodges",Q10057,8248,100,hodgeswilliam,"22 aprile 2018 16:17:36",William_Hodges,,,
"William J. Birnes",Q10058,4690,177,birneswilliamj,"20 maggio 2018 17:00:27",,,,
"William J. Ross",Q10059,8923,110,rosswilliam,"22 aprile 2018 16:17:39",William_Ross,,,
Barron,Q1006,7623,94,barron,"22 aprile 2018 16:17:33",Barron,,,
"William Knight",Q10060,6745,186,knightwilliam,"20 maggio 2018 17:00:41",,,,
"William L. Crawford",Q10061,8398,178,crawfordwilliaml,"20 maggio 2018 20:34:35",,,nm0186993,
"William Lithgow",Q10062,8163,187,lithgowwilliam,"20 maggio 2018 20:34:31",,,,
"William Lucking",Q10063,6619,187,luckingwilliam,"20 maggio 2018 17:00:39",,,nm0524747,
"William Marshall",Q10064,7022,188,marshallwilliam,"20 maggio 2018 17:00:49",,,,
"William McKenzie",Q10065,1986,105,mckenziewilliam,"22 aprile 2018 16:17:15",William_McKenzie,,,
"William Meader",Q10066,6798,188,meaderwilliam,"20 maggio 2018 17:00:43",,,,
"William Morgan Sheppard",Q10067,1591,194,sheppardwilliam,"20 maggio 2018 16:21:08",,,nm0792003,
"William Newman",Q10068,7824,189,newmanwilliam,"20 maggio 2018 20:34:25",,,nm0628309,
"Barry Atwater",Q1007,6026,176,barryatwater,"20 maggio 2018 17:00:29",,,,
"William O'Connell",Q10070,6979,190,oconnellwilliam,"20 maggio 2018 17:00:47",,,,
"William Patrick Samuels",Q10071,8462,111,samuelswilliampatrick,"22 aprile 2018 16:17:38",William_Patrick_Samuels,,,
"William Powell-Blair",Q10072,8296,191,powellblairwilliam,"20 maggio 2018 20:34:33",,,,
"William Riker",Q10073,1910,110,rikerwilliam,"22 aprile 2018 16:17:14",William_T._Riker,,,
"William Sadler",Q10074,1559,194,sadlerwilliam,"20 maggio 2018 16:21:07",,,nm0006669,
"William Sargent",Q10075,6779,194,sargentwilliam,"20 maggio 2018 17:00:42",,,,
"William Schallert",Q10076,1570,194,schallertwilliam,"20 maggio 2018 16:21:07",,,nm0769974,
"William Shatner",Q10077,1584,194,shatnerwilliam,"20 maggio 2018 16:21:07",,,nm0000638,
"William Smithers",Q10078,6969,194,smitherswilliam,"20 maggio 2018 17:00:47",,,,
"William Telfer",Q10079,3247,112,telferwilliam,"22 aprile 2018 16:17:27",William_Telfer,,,
"William Thomas, Jr.",Q10080,8198,195,thomaswilliamjr,"20 maggio 2018 20:34:33",,,,
"William Utay",Q10081,6169,196,utaywilliam,"20 maggio 2018 17:00:31",,,,
"William Wellman, Jr.",Q10082,8889,198,wellmanwilliamjr,"20 maggio 2018 20:34:42",,,,
"William Windom",Q10083,6923,198,windomwilliam,"20 maggio 2018 17:00:46",,,,
"William Wintersole",Q10084,7019,198,wintersolewilliam,"20 maggio 2018 17:00:48",,,,
"Williams (williams)",Q10085,6208,115,williams,"22 aprile 2018 16:17:28",Williams_%28Commander%29,,,
"Williams (williams1)",Q10086,1784,115,williams1,"22 aprile 2018 16:17:13",Williams_%28Female_Ensign%29,,,
"Willie Garson",Q10087,9437,182,garsonwillie,"20 maggio 2018 20:34:50",,,,
"Willie Hawkins",Q10088,8988,100,hawkinswillie,"22 aprile 2018 16:17:40",Willie_Hawkins,,,
"Willie Potts",Q10089,7712,108,pottswillie,"22 aprile 2018 16:17:34",Willie_Potts,,,
"Barry Jenner",Q1009,1270,185,jennerbarry,"20 maggio 2018 16:20:58",,,nm0421061,
Willoughby,Q10090,9088,115,willoughby,"22 aprile 2018 16:17:41",Edgar_Willoughby,,,
"Wilson (wilson)",Q10091,7054,356,wilson,"20 maggio 2018 22:01:48",Wilson_%28mirror%29,,,
"Wilson (wilson1)",Q10092,1783,115,wilson1,"22 aprile 2018 16:17:12",Wilson,,,
"Win Phelps",Q10093,7349,191,phelpswin,"20 maggio 2018 17:00:54",,,nm0679855,
"Window on a Lost World",Q10094,4619,53,litowindowlostworld,"13 maggio 2018 12:47:33",,,,
"Wink of an Eye",Q10095,2971,18,tos68,"7 aprile 2018 16:50:20",,,tt0708490,5710.5
"Winn Adami",Q10096,1782,115,winnadami,"22 aprile 2018 16:17:12",Winn_Adami,,,
"Winona Ryder",Q10097,10659,193,ryderwinona,"20 maggio 2018 21:13:02",Winona_Ryder,,nm0000213,
"Winrich Kolbe",Q10098,1301,186,kolbewinrich,"20 maggio 2018 16:20:59",,,nm0463926,
"Winston De Lugo",Q10099,6796,179,delugowinston,"20 maggio 2018 17:00:43",,,nm0209946,
"Barry Kivel",Q1010,7982,186,kivelbarry,"20 maggio 2018 20:34:28",,,,
Wixiban,Q10100,9339,115,wixiban,"22 aprile 2018 16:17:42",Wixiban,,,
Woban,Q10101,8378,115,woban,"22 aprile 2018 16:17:37",Woban,,,
"Wolf in the Fold",Q10102,2939,18,tos36,"7 aprile 2018 16:50:17",,,tt0708491,3614.9
Wompat,Q10103,6001,207,wompat,"20 maggio 2018 22:01:46",,,,
Wong,Q10104,1781,115,wong,"22 aprile 2018 16:17:12",Wong,,,
"Wooded parkland",Q10105,5339,208,woodedparkland,"27 maggio 2018 12:54:35",,,,
Worf,Q10106,1779,115,worf,"22 aprile 2018 16:17:12",Worf,,,
"Worf (avvocato)",Q10107,10168,115,worfbis,"22 aprile 2018 16:17:45",Worf_%28Colonel%29,,,
"Worf (specchio)",Q10108,10286,356,miworf,"20 maggio 2018 22:01:53",,,,
"Workforce - Part I",Q10109,2893,22,voy162,"7 aprile 2018 16:50:12",,,,54584.3
"Barry Lynch",Q1011,8036,187,lynchbarry,"20 maggio 2018 20:34:30",,,,
"Workforce - Part II",Q10110,2894,22,voy163,"7 aprile 2018 16:50:12",,,,54622.4
"World Series",Q10111,5340,208,worldseries,"27 maggio 2018 12:54:35",,,,
"World Without End",Q10112,4620,53,litoworldwithoutend,"13 maggio 2018 12:47:33",,,,
"Worley Thorne",Q10113,1658,195,thorneworley,"20 maggio 2018 16:21:10",,,nm0861439,
Wormhole,Q10114,5955,205,wormhole,"20 maggio 2018 22:01:45",,,,
"Wormhole bajoriano",Q10115,5956,205,wormholebajoriano,"20 maggio 2018 22:01:45",,,,
"Wormhole barzano",Q10116,10681,205,wormholebarzano,"20 maggio 2018 22:01:58",,"Barzan wormhole",,
"Wormhole microscopico",Q10117,5957,205,wormholemicro,"20 maggio 2018 22:01:45",,,,
"Worst Case Scenario",Q10118,2798,22,voy067,"2 aprile 2018 21:04:48",Worst_Case_Scenario,,,50953.4
"Wren T. Brown",Q10119,973,177,brownwren,"20 maggio 2018 16:20:49",,,nm0114931,
"Barry M. Schkolnick",Q1012,7992,194,schkolnickbarrym,"20 maggio 2018 20:34:28",,,nm0772049,
Wrenn,Q10120,1778,115,wrenn,"22 aprile 2018 16:17:12",Wrenn,,,
"Wrongs Darker Than Death or Night",Q10121,2520,1,dsn141,"2 aprile 2018 21:04:38",,,,
Wu,Q10122,6699,115,wu,"22 aprile 2018 16:17:32",Wu,,,
Wyatt,Q10123,6100,115,wyatt,"22 aprile 2018 16:17:27",Wyatt,,,
"Wyatt Earp",Q10124,6332,97,earpwyatt,"22 aprile 2018 16:17:29",,,,
"Wyatt Knight",Q10125,7257,186,knightwyatt,"20 maggio 2018 17:00:53",,,,
"Wyatt Miller",Q10126,1976,105,millerwyatt,"22 aprile 2018 16:17:15",Wyatt_Miller,,,
Wykoff,Q10127,9043,115,wykoff,"22 aprile 2018 16:17:40",Wykoff,,,
Wyngari,Q10128,4768,143,wyngari,"13 maggio 2018 12:23:09",,,,
Wysanti,Q10129,4767,143,wysanti,"13 maggio 2018 12:23:09",,,,
"Barry Russo",Q1013,1553,193,russobarry,"20 maggio 2018 16:21:07",,,nm0751579,
"Xanthras III",Q10130,4345,172,xanthras3,"22 aprile 2018 21:14:30",,,,
Xantoras,Q10131,3792,172,xantoras,"22 aprile 2018 21:14:25",,,,
Xelo,Q10132,1777,116,xelo,"22 aprile 2018 16:17:12",Xelo,,,
"Xendi 9",Q10133,5689,202,xendi9,"27 maggio 2018 13:07:58",,,,
Xenopolicytemia,Q10134,3619,59,xenopolicytemia,"20 maggio 2018 22:01:32",,,,
Xepoliti,Q10135,4766,144,xepoliti,"13 maggio 2018 12:23:09",,,,
"Xerxes VII",Q10136,4346,172,xerxes7,"22 aprile 2018 21:14:30",,,,
Xhosa,Q10137,10611,46,xhosa,"6 maggio 2018 13:12:00",,,,
Xindi,Q10138,3281,28,xindi,"20 maggio 2018 21:39:02",,,,
Xyrilliani,Q10139,4765,144,xyrilliani,"13 maggio 2018 12:23:09",,,,
"Barry Trivers",Q1014,7134,195,triversbarry,"20 maggio 2018 17:00:50",,,,
Y'Pora,Q10140,8798,117,ypora,"22 aprile 2018 16:17:39",Y%27Pora,,,
Y'Sek,Q10141,9410,117,ysek,"22 aprile 2018 16:17:43",Y%27Sek,,,
"IKS Y'tem",Q10142,210,237,asklingonkkvortytem,"6 maggio 2018 13:11:05",IKS_Y%27tem,,,
"Yadera I",Q10144,4348,173,yadera1,"22 aprile 2018 21:14:30",,,,
"Yadera II",Q10145,3791,173,yadera2,"22 aprile 2018 21:14:25",,,,
Yalasat,Q10146,5856,203,yalasat,"27 maggio 2018 13:13:56",,,,
Yalosiani,Q10147,4764,145,yalosiani,"13 maggio 2018 12:23:09",,,,
Yanar,Q10148,7447,117,yanar,"22 aprile 2018 16:17:33",Yanar,,,
"Yanas Tigan",Q10149,9059,112,tiganyanas,"22 aprile 2018 16:17:41",Yanas_Tigan,,,
"Barry Wiggins",Q1015,1719,198,wigginsbarry,"20 maggio 2018 16:21:12",,,nm0927765,
"Yankees vs. Red Sox",Q10150,5341,208,yankeesredsox,"27 maggio 2018 12:54:35",,,,
Yareena,Q10151,7283,117,yareena,"22 aprile 2018 16:17:33",Yareena,,,
Yareth,Q10152,8371,117,yareth,"22 aprile 2018 16:17:37",Yareth,,,
Yarka,Q10153,8594,117,yarka,"22 aprile 2018 16:17:38",Yarka,,,
Yarnek,Q10154,6037,117,yarnek,"22 aprile 2018 16:17:27",Yarnek,,,
Yarrick,Q10155,6551,117,yarrick,"22 aprile 2018 16:17:31",Yarrick,,,
Yassim,Q10156,8929,117,yassim,"22 aprile 2018 16:17:39",Yassim,,,
Yattho,Q10157,5112,145,yattho,"13 maggio 2018 12:23:22",,,,
"Year of Hell - Part I",Q10158,2807,22,voy076,"2 aprile 2018 21:04:49",Year_of_Hell_%28episode%29,,tt0709014,51268.4
"Year of Hell - Part II",Q10159,2808,22,voy077,"2 aprile 2018 21:04:49",Year_of_Hell%2C_Part_II_%28episode%29,,tt0709015,"51252.3,51425.4,51682.2"
"Barson II",Q1016,4052,150,barson2,"22 aprile 2018 21:14:28",,,,
Yediq,Q10160,9711,117,yediq,"22 aprile 2018 16:17:44",Yediq,,,
"Yedrin Dax",Q10161,8819,404,yedrindax,"22 aprile 2018 16:17:39",Yedrin_Dax,,,
"Yedrin Lek",Q10162,6539,104,lekyedrin,"22 aprile 2018 16:17:31",Yerdrin_Lek,,,
Yeggie,Q10163,9692,117,yeggie,"22 aprile 2018 16:17:44",Yeggie,,,
Yelgrun,Q10164,8942,117,yelgrun,"22 aprile 2018 16:17:39",Yelgrun,,,
Yeln,Q10165,8566,117,yeln,"22 aprile 2018 16:17:38",Yeln,,,
Yerid,Q10166,9721,117,yerid,"22 aprile 2018 16:17:44",Yerid,,,
"Yesterday's Enterprise",Q10167,2617,21,tng063,"2 aprile 2018 21:04:41",Yesterday%27s_Enterprise_%28episode%29,,tt0708845,43625.2
"Yesterday's Son",Q10168,4622,53,litoyesterdayson,"13 maggio 2018 12:47:33",,,,
Yesteryear,Q10169,2985,19,tas03,"30 aprile 2018 09:57:19",,,,5373.4
Barstow,Q1017,2195,94,barstow,"22 aprile 2018 16:17:20",Barstow_(Commodore),,,
Yeto,Q10170,8410,117,yeto,"22 aprile 2018 16:17:37",Yeto,,,
Yifay,Q10171,9600,117,yifay,"22 aprile 2018 16:17:44",Yifay,,,
Yint,Q10172,8960,117,yint,"22 aprile 2018 16:17:40",Yint,,,
Yivel,Q10173,9601,117,yivel,"22 aprile 2018 16:17:44",Yivel,,,
Yog,Q10174,8256,117,yog,"22 aprile 2018 16:17:36",Yog,,,
"Yolad Belar",Q10175,3268,94,belaryolad,"22 aprile 2018 16:17:27",Yolad_Belar,,,
Yolen,Q10176,6442,117,yolen,"22 aprile 2018 16:17:30",Yolen,,,
Yonada,Q10177,3790,173,yonada,"22 aprile 2018 21:14:25",,,,
Yosa,Q10178,3269,117,yosa,"22 aprile 2018 16:17:27",Yosa,,,
Yost,Q10179,9403,117,yost,"22 aprile 2018 16:17:43",Yost,,,
"Bart Conrad",Q1018,6795,178,conradbart,"20 maggio 2018 17:00:43",,,,
"You are Cordially Invited...",Q10180,2510,1,dsn131,"2 aprile 2018 21:04:38",You_Are_Cordially_Invited...,,,51247.5
Yral,Q10181,6544,117,yral,"22 aprile 2018 16:17:31",Yral,,,
Yranac,Q10182,8213,117,yranac,"22 aprile 2018 16:17:35",Yranac,,,
Yridiani,Q10183,4763,145,yridiani,"13 maggio 2018 12:23:09",Yridian,Yridian,,
Yteppa,Q10184,8567,117,yteppa,"22 aprile 2018 16:17:38",Yteppa,,,
Yun,Q10185,9726,117,yun,"22 aprile 2018 16:17:44",Yun,,,
Yuris,Q10186,1775,117,yuris,"22 aprile 2018 16:17:12",Yuris,,,
Yuta,Q10187,7639,117,yuta,"22 aprile 2018 16:17:33",Yuta,,,
Yutan,Q10188,7080,117,yutan,"22 aprile 2018 16:17:32",Yutan,,,
"Yvette Gessard Picard",Q10189,7285,99,gessardyvette,"22 aprile 2018 16:17:33",Yvette_Picard,,,
"Bart LaRue",Q1019,1320,187,laruebart,"20 maggio 2018 16:20:59",,,nm0478999,
"Yvonne Craig",Q10190,6085,178,craigyvonne,"20 maggio 2018 17:00:30",,,,
"Yvonne Suhor",Q10191,9123,194,suhoryvonne,"20 maggio 2018 20:34:45",,,,
"Zabato andoriano",Q10192,10345,207,zabatoandoriano,"20 maggio 2018 22:01:54",,"Andorian zabathu",,
Zabel,Q10193,3270,118,zabel,"22 aprile 2018 16:17:27",Zabel,,,
Zabo,Q10194,7091,118,zabo,"22 aprile 2018 16:17:32",Zabo,,,
Zabu,Q10195,6002,207,zabu,"20 maggio 2018 22:01:46",,,,
"Zach Galligan",Q10196,9432,182,galliganzach,"20 maggio 2018 20:34:50",,,,
"Zach Grenier",Q10197,6362,182,grenierzach,"20 maggio 2018 17:00:34",,,,
"Zachary Benjamin",Q10198,7385,177,benjaminzachary,"20 maggio 2018 17:00:54",,,,
"Zachary Krebs",Q10199,6524,186,krebszachary,"20 maggio 2018 17:00:38",,,,
"Bart McCarthy",Q1020,8887,188,mccarthybart,"20 maggio 2018 20:34:42",,,,
"Zachary Quinto",Q10200,10648,192,quintozachary,"20 maggio 2018 21:13:02",Zachary_Quinto,,nm0704270,
"Zachary Williams",Q10201,10232,198,williamszachary,"20 maggio 2018 21:13:00",,,nm0931955,
"Zadar IV",Q10202,4349,174,zadar4,"22 aprile 2018 21:14:30",,,,
Zahir,Q10203,9353,118,zahir,"22 aprile 2018 16:17:42",Zahir,,,
Zahl,Q10204,4762,146,zahl,"13 maggio 2018 12:23:09",Zahl,Zahl,,
"Zahra Jamal",Q10205,6894,102,jamalzahra,"22 aprile 2018 16:17:32",Zahra,,,
Zakarian,Q10206,1774,118,zakarian,"22 aprile 2018 16:17:12",Zakarian,,,
Zakdorn,Q10207,4761,146,zakdorn,"13 maggio 2018 12:23:09",,,,
Zalda,Q10208,3789,174,zalda,"22 aprile 2018 21:14:25",,,,
Zaldan,Q10209,4760,146,zaldan,"13 maggio 2018 12:23:09",,,,
Bartel,Q1021,2239,94,bartel,"22 aprile 2018 16:17:20",Bartel,,,
Zalkon,Q10210,4350,174,zalkon,"22 aprile 2018 21:14:30",,,,
Zalkoniani,Q10211,4759,146,zalkoniani,"13 maggio 2018 12:23:09",,,,
"Zampe di krada",Q10212,5867,204,zampekrada,"27 maggio 2018 13:43:33",,,,
"Zampe e artigli di pipius",Q10213,5950,204,zampeartiglipipius,"27 maggio 2018 13:43:36",,,,
"Zandra Taitt",Q10214,1845,112,taittzandra,"22 aprile 2018 16:17:13",Taitt,,,
"Zane Cassidy",Q10215,1006,178,cassidyzane,"20 maggio 2018 16:20:50",,,nm0144258,
Zar,Q10216,9606,118,zar,"22 aprile 2018 16:17:44",Zar,,,
Zarabeth,Q10217,3272,118,zarabeth,"22 aprile 2018 16:17:27",Zarabeth,,,
Zayner,Q10218,7652,118,zayner,"22 aprile 2018 16:17:33",Zayner,,,
Zayra,Q10219,8343,118,zayra,"22 aprile 2018 16:17:36",Zayra,,,
Bartlett,Q1022,2240,94,bartlett,"22 aprile 2018 16:17:20",Bartlett,,,
"Zayra IV",Q10220,4351,174,zayra4,"22 aprile 2018 21:14:30",,,,
Zef'No,Q10221,8406,118,zefno,"22 aprile 2018 16:17:37",Zef%27No,,,
"Zefram Cochrane",Q10222,2160,95,cochranezefram,"22 aprile 2018 16:17:19",Zefram_Cochrane,,,
"Zefram Cochrane (specchio)",Q10223,10262,356,micochrane,"20 maggio 2018 22:01:52",,,,
Zek,Q10224,8364,118,zek,"22 aprile 2018 16:17:37",Zek,,,
Zeon,Q10225,4352,174,zeon,"22 aprile 2018 21:14:30",,,,
Zepht,Q10226,6443,118,zepht,"22 aprile 2018 16:17:30",Zepht,,,
"Zero Hour",Q10227,2359,17,ent076,"2 aprile 2018 21:04:31",,,,
Zet,Q10228,9736,118,zet,"22 aprile 2018 16:17:44",Zet,,,
"Zeta Alfa II",Q10229,4353,174,zetaalfa2,"22 aprile 2018 21:14:30",,,,
"Barton Tinapp",Q1023,9125,195,tinappbarton,"20 maggio 2018 20:34:45",,,,
Zetar,Q10230,4354,174,zetar,"22 aprile 2018 21:14:30",,,,
Zeviani,Q10231,4758,146,zeviani,"13 maggio 2018 12:23:09",,Zevians,,
Zho'Kaan,Q10234,1773,118,zhokaan,"22 aprile 2018 16:17:12",Zho%27Kaan,,,
Zibaliani,Q10235,4757,146,zibaliani,"13 maggio 2018 12:23:09",,,,
Zilm'kach,Q10236,5949,204,zilmkach,"27 maggio 2018 13:43:36",,,,
"Zim Brott",Q10237,2178,94,brottzim,"22 aprile 2018 16:17:20",Zim_Brott,,,
Zio,Q10238,9312,118,zio,"22 aprile 2018 16:17:42",Zio,,,
Zjod,Q10239,6536,118,zjod,"22 aprile 2018 16:17:31",Zjod,,,
Barus,Q1024,9730,94,barus,"22 aprile 2018 16:17:44",Barus,,,
Zlangco,Q10240,8374,118,zlangco,"22 aprile 2018 16:17:37",Zlangco,,,
Zobral,Q10241,1771,118,zobral,"22 aprile 2018 16:17:12",Zobral,,,
"Zoe McLellan",Q10242,1401,188,mclellanzoe,"20 maggio 2018 16:21:02",,,nm0572721,
"Zoe Saldana",Q10243,10653,194,saldanazoe,"20 maggio 2018 21:13:02",,,nm0757855,
Zolan,Q10244,8413,118,zolan,"22 aprile 2018 16:17:37",Zolan,,,
"Zona Neutrale Romulana",Q10245,5602,330,zonaneutraleromulana,"20 maggio 2018 22:01:43",,,,
"Zora (Tiburoniana)",Q10246,6036,118,zora,"22 aprile 2018 16:17:27",Zora,,,
"Zora DeHorter",Q10247,8844,179,dehorterzora,"20 maggio 2018 20:34:41",,,,
Zorn,Q10248,7280,118,zorn,"22 aprile 2018 16:17:33",Zorn,,,
Zoumas,Q10249,6436,118,zoumas,"22 aprile 2018 16:17:29",Zoumas,,,
Barzai,Q1025,745,46,asbarzai,"6 maggio 2018 13:11:45",,,,
"Zuppa di Laka",Q10250,5868,204,zuppalaka,"27 maggio 2018 13:43:33",,,,
"Zuppa di pasta",Q10251,5869,204,zuppapasta,"27 maggio 2018 13:43:33",,,,
"Zuppa di radici di leola",Q10252,5871,204,zuppaleola,"27 maggio 2018 13:43:33",,,,
"Zuppa di trifoglio Vak",Q10253,5872,204,zuppavak,"27 maggio 2018 13:43:33",,,,
"Zuppa plomeek",Q10254,5870,204,zuppaplomeek,"27 maggio 2018 13:43:33",Plomeek_soup,"Plomeek soup",,
Zyree,Q10255,8419,118,zyree,"22 aprile 2018 16:17:37",Zyree,,,
"Zytchin III",Q10256,4355,174,zytchin3,"22 aprile 2018 21:14:30",,,,
"Allarme di sicurezza di livello 2",Q10257,3777,63,allarmelivello2,"20 maggio 2018 22:01:36",,,,
"Alleanza Klingon-Cardassiana",Q10258,10240,398,alleanzakc,"20 maggio 2018 22:01:50",Klingon-Cardassian_Alliance,"Klingon-Cardassian Alliance",,
Amarie,Q10259,7877,93,amarie,"22 aprile 2018 16:17:34",Amarie,,,
Barzan,Q1026,10682,150,barzan,"22 aprile 2018 21:14:32",,Barzan,,
"Andrew Kim",Q10260,367,404,kimandrew,"22 aprile 2018 16:17:42",Andrew_Kim,,,
Angla'bosque,Q10261,5932,204,anglabosque,"27 maggio 2018 13:43:35",,,,
Anomaly,Q10262,2337,17,ent054,"2 aprile 2018 21:04:30",,,,
"Antos IV",Q10263,4070,149,antos4,"22 aprile 2018 21:14:29",,,,
"Areel Shaw",Q10264,1876,111,shawareel,"22 aprile 2018 16:17:14",Areel_Shaw,,,
"Armi isolitiche",Q10265,5205,211,isolitiche,"20 maggio 2018 22:01:42",,,,
"Ashes to Ashes",Q10266,2869,22,voy138,"2 aprile 2018 21:04:52",,,,53679.4
