"0-Titolo pagina","1-DataTrek Item",2-HTPaginaID,3-HTSezioneID,4-HTPaginaTag,5-HTPaginaElaboarata,6-HTMAPage,7-HTOriginale,8-HTimdbID,"9-Data stellare"
"Behind the Lines",Q1147,2507,1,dsn128,2018-04-02T21:04:38,,,,51145.3
"Bejal Otner",Q1148,2190,94,bejalotner,2018-04-22T16:17:20,Bejal_Otner,,,
Bek,Q1149,8472,94,bek,2018-04-22T16:17:38,Bek,,,
"Bela Oxmyx",Q1150,7086,107,oxmyxbela,2018-04-22T16:17:32,Bela_Oxmyx,,,
Belak,Q1151,266,242,asromukdderidexbelak,2018-05-06T13:11:12,IRW_Belak,,,
Belar,Q1152,8792,94,belar,2018-04-22T16:17:39,Belar,,,
Bele,Q1153,6093,94,bele,2018-04-22T16:17:27,Bele,,,
Belle,Q1154,9370,215,belle,2018-04-22T16:17:42,Belle,,,
Belongo,Q1155,10561,94,belongo,2018-04-22T16:17:48,Belongo,,,
"Beltania IX",Q1156,4118,150,beltania9,2018-04-22T21:14:29,,,,
Bem,Q1157,2999,19,tas18,2018-04-30T09:57:21,,,,7403.6
Bemar,Q1158,10567,94,bemar,2018-04-22T16:17:49,Bemar,,,
Ben,Q1159,2243,94,ben,2018-04-22T16:17:20,,,,
"Ben Binswagner",Q1160,10812,177,binswagnerben,2018-05-20T21:13:05,,,nm3418820,
"Ben Childress",Q1161,2164,95,childressben,2018-04-22T16:17:19,Ben_Childress,,,
"Ben Cross",Q1162,10666,178,crossben,2018-05-20T21:13:02,,,nm0002027,
"Ben Gage",Q1163,6913,182,gageben,2018-05-20T17:00:45,,,,
"Ben Lemon",Q1164,7951,187,lemonben,2018-05-20T20:34:27,,,,
"Ben Prieto",Q1165,1929,108,prietoben,2018-04-22T16:17:14,Ben_Prieto,,,
"Ben Slack",Q1166,7835,194,slackben,2018-05-20T20:34:26,,,,
"Ben Vereen",Q1167,8146,197,vereenben,2018-05-20T20:34:31,,,,
Benaren,Q1168,9365,94,benaren,2018-04-22T16:17:42,Benaren,,,
Benecia,Q1169,4051,150,benecia,2018-04-22T21:14:28,,,,
Benian,Q1170,4050,150,benian,2018-04-22T21:14:28,,,,
Beniani,Q1171,5048,122,beniani,2018-05-13T12:23:20,,,,
Benil,Q1172,8569,94,benil,2018-04-22T16:17:38,Benil,,,
"Benita Andre",Q1173,8329,176,andrebenita,2018-05-20T20:34:34,,,,
"Benito Martinez",Q1174,8142,188,martinezbenito,2018-05-20T20:34:31,,,,
"Benjamin Brown",Q1175,8909,177,brownbenjamin,2018-05-20T20:34:43,,,,
"Benjamin Finney",Q1176,2124,98,finneybenjamin,2018-04-22T16:17:19,Ben_Finney,,,
"Benjamin Livingston",Q1177,9440,187,livingstonbenjamin,2018-05-20T20:34:50,,,,
