"Titolo pagina","DataTrek Item",HTPaginaID,HTSezioneID,HTPaginaTag,HTPaginaElaboarata,HTMAPage,HTOriginale,HTimdbID,"Data stellare"
"'Doc' Fitzgerald",Q119,9672,215,fitzgeralddoc,2018-04-22T16:17:44,Fitzgerald_%28hologram%29,,,
"'Til Death Do Us Part",Q120,2547,1,dsn168,2018-04-02T21:04:39,,,,
"'aucdet IX",Q118,4096,149,aucdet9,2018-04-22T21:14:29,%27aucdet_IX,,,
00,Q121,7299,350,00,2018-04-22T16:17:33,,,,
01,Q122,7300,350,01,2018-04-22T16:17:33,,,,
0413-Theta,Q123,10525,356,0413theta,2018-05-20T22:01:57,,,,
10,Q124,7301,350,10,2018-04-22T16:17:33,,,,
10026,Q125,5088,120,10026,2018-05-13T12:23:22,,,,
11,Q126,7302,350,11,2018-04-22T16:17:33,,,,
11001001,Q109,2569,21,tng015,2018-04-02T21:04:40,11001001,,/www.imdb.com/title/tt0708668,41365.9
116,Q155,5087,120,116,2018-05-13T12:23:22,,,,
11:59,Q127,2848,22,voy117,2018-04-08T09:43:27,11%3A59,,/www.imdb.com/title/tt0708846,
125,Q128,5086,120,125,2018-05-13T12:23:22,,,,
149,Q129,5085,120,149,2018-05-13T12:23:22,,,,
"150 caccia del Dominio",Q130,10752,227,asdomk150caccia,2018-05-06T13:12:02,,,,
1865-Alfa,Q131,3960,148,1865a,2018-04-22T21:14:28,,,,
"1st Lt. Donald W. Zautcke, USMC",Q132,9981,201,zautckedonaldw,2018-05-20T20:35:01,,,,
"1st Sgt Joseph Naradzay, USMC",Q133,9972,189,naradzayhoseph,2018-05-20T20:35:01,,,,
"2063 (specchio)",Q134,10243,360,mittt2063,2018-05-20T22:01:51,,,,
"2155 (specchio)",Q135,10244,360,mittt2155,2018-05-20T22:01:51,,,,
"2267 (specchio)",Q136,10245,360,mittt2267,2018-05-20T22:01:51,,,,
"2370 (specchio)",Q137,10246,360,mittt2370,2018-05-20T22:01:51,,,,
"2371 (specchio)",Q138,10247,360,mittt2371,2018-05-20T22:01:51,,,,
"2372 (specchio)",Q139,10248,360,mittt2372,2018-05-20T22:01:51,,,,
"2375 (specchio)",Q140,10683,360,mittt2375,2018-05-20T22:01:58,,,,
259,Q141,5084,120,259,2018-05-13T12:23:22,,,,
262,Q142,5083,120,262,2018-05-13T12:23:22,,,,
263,Q143,5082,120,263,2018-05-13T12:23:22,,,,
312,Q144,5081,120,312,2018-05-13T12:23:22,,,,
5174,Q146,5079,120,5174,2018-05-13T12:23:22,,,,
571,Q147,5078,120,571,2018-05-13T12:23:22,,,,
5973,Q148,5077,120,5973,2018-05-13T12:23:22,,,,
6263,Q149,9219,350,6263,2018-04-22T16:17:42,,,,
6339,Q150,5076,120,6339,2018-05-13T12:23:22,,,,
8472,Q151,5075,120,8472,2018-05-13T12:23:22,,,,
"892 IV",Q152,4094,148,8924,2018-04-22T21:14:29,,,,
"A Christmas Carol",Q153,5247,208,achristmascarol,2018-05-27T12:54:31,,,,
"A Fistful of Datas",Q110,2688,21,tng134,2018-04-02T21:04:44,,,,46271.5
"A Flag full of Stars",Q111,4539,53,litoflagfullstars,2018-05-13T12:47:30,,,,
"A Man Alone",Q112,2383,1,dsn003,2018-04-02T21:04:33,,,,46421.5
"A Matter of Honor",Q113,2588,21,tng034,2018-04-02T21:04:41,,,,42506.5
"A Matter of Perspective",Q114,2616,21,tng062,2018-04-02T21:04:41,,,,43610.4
"A Matter of Time",Q115,2663,21,tng109,2018-04-02T21:04:43,A_Matter_of_Time,,,"45349.1,45350.3"
"A Night in Sickbay",Q116,2314,17,ent031,2018-04-02T21:04:29,,,,
"A Piece of the Action",Q117,2952,18,tos49,2018-04-07T16:50:19,,,tt0708412,4598.0
"A Private Little War",Q156,2948,18,tos45,2018-04-07T16:50:18,,,tt0708413,4211.4
"A Rock and a Hard Place",Q157,4496,52,litnrockhardplace,2018-05-13T12:47:28,,,,
"A Simple Investigation",Q158,2494,1,dsn115,2018-04-02T21:04:37,,,,50626.6
