0-Titolo pagina,1-Istanza P14,2-Titolo italiano,3-Titolo tedesco,4-Titolo francese,5-Numero di produzione P1,6- Posizione nella lista P178,7-Data di pubblicazione originale,8-Stag. P18,9-Durata P32
"Into the Breach, Part 1",Q10692,,,Sur la brèche : Partie 1,PRO201,1,2024-03-22,2,24
"Into the Breach, Part 2",Q10692,,,Sur la brèche : Partie 2,PRO202,2,2024-03-22,2,24
Who Saves the Saviors?,Q10692,,,Qui sauve les sauveurs ?,PRO203,3,2024-03-22,2,23
Temporal Mechanics 101,Q10692,,,La mécanique temporelle 101,PRO204,4,2024-03-22,2,23
The Mystery Spiral,Q10692,,,La spirale mystère,PRO205,5,2024-03-22,2,23
Imposter Syndrome,Q10692,,,Le syndrome de l'imposteur,PRO206,6,2024-03-22,2,24
The Race,Q10692,,,La course,PRO207,7,2024-03-22,2,23
Veritas?,Q10692,,,Veritas ?,PRO208,8,2024-03-22,2,23
"The Time Devouring Scavengers, Part 1",Q10692,,,Les charognards dévoreurs de temps : Partie 1,PRO209,9,2024-03-22,2,23
"The Time Devouring Scavengers, Part 2",Q10692,,,Les charognards dévoreurs de temps : Partie 2,PRO210,10,2024-03-22,2,23
"The Last Flight of the Protostar, Part 1",Q10692,,,Le dernier vol du protostar : Partie 1,PRO211,11,2024-03-22,2,23
"The Last Flight of the Protostar, Part 2",Q10692,,,Le dernier vol du protostar : Partie 2,PRO212,12,2024-03-22,2,22
A Tribble Called Bridule,Q10692,,,Un tribule nommé bridule,PRO213,13,2024-03-22,2,23
The Mirror Universe,Q10692,,,L'univers miroir,PRO214,14,2024-03-22,2,23
"The Ascent, Part 1",Q10692,,,L'ascension : Partie 1,PRO215,15,2024-03-22,2,23
"The Ascent, Part 2",Q10692,,,L'ascension : Partie 2,PRO216,16,2024-03-22,2,21
On the Brink,Q10692,,,Au bord du gouffre,PRO217,17,2024-03-22,2,23
Behind Enemy Lines (Prodigy),Q10692,,,Derrière les lignes ennemies,PRO218,18,2024-03-22,2,22
"Ouroboros, Part 1",Q10692,,,Ouroboros : Partie 1,PRO219,19,2024-03-22,2,23
"Ouroboros, Part 2",Q10692,,,Ouroboros : Partie 2,PRO220,20,2024-03-22,2,23
