0-Datatrek ID,1-Ordinale,2-title,3-durata,4-min,5-Synopsis
Q12695,1,Nella breccia: Parte 1,25min,25,"Dal sale con i suoi amici a bordo dell'astronave di Janeway per indagare sul tunnel spaziale creato dalla Protostar. Poi, stanco dell'addestramento, vorrebbe entrare in azione."
Q12696,2,Nella breccia: Parte 1,25min,25,Gwyn si imbatte in una ben nota nemica sul pianeta Solum. Janeway rivela a Dal e ai suoi amici la vera posta in gioco della missione.
Q12697,3,Chi salverà i soccorritori?,24min,24,"Dal e l'equipaggio viaggiano attraverso la voragine temporale alla ricerca di Chakotay su Solum. Con il sostegno del padre, Gwyn sfida Asencia."
Q12698,4,Meccanica temporale 101,24min,24,"Sebbene separati da decenni, gli equipaggi dell'Infinity e della Voyager si uniscono per salvare Gwyn, che viene raggiunta da un misterioso messaggero."
Q12699,5,Il paradosso dell'osservatore,25min,25,L'equipaggio riunito sulla Voyager e sotto stretta sorveglianza deve decodificare un messaggio segreto che il misterioso benefattore ha lasciato a Murf.
Q12700,6,Sindrome da impostore,25min,25,"Nella speranza di dirottare l'Infinity prima della sua distruzione programmata, Dal e l'equipaggio creano degli ologrammi che coprano la loro assenza."
Q12701,7,Fast and curious,24min,24,Dal e i suoi amici utilizzano un condotto Borg per viaggiare più velocemente nel tempo e si ritrovano alla mercé di un esigente Kazon.
Q12702,8,Non c'è verità nella bellezza?,24min,24,"L'equipaggio fa una deviazione verso una colonia di esseri incorporei, che offrono a Zero l'opportunità di ottenere un corpo. Janeway scopre le reali intenzioni di Dal."
Q12703,9,Il divoratore di ogni cosa: Parte 1,24min,24,"L'equipaggio dell'Infinity giunge finalmente a destinazione e scopre un pianeta nascosto, oltre che l'identità tanto attesa del misterioso messaggero."
Q12704,10,Il divoratore di ogni cosa: Parte 2,24min,24,L'equipaggio dell'Infinity e il nuovo alleato fuggono dagli inseguitori che cancellano il tempo e cercano una via di fuga. La Voyager intraprende una missione di salvataggio.
Q12705,11,L'ultimo volo della Protostar: Parte 1,24min,24,"Grazie all'intervento tempestivo di Wesley Crusher, i cadetti trovano la Protostar, ma il guardiano dell'astronave non sembra avere voglia di essere aiutato."
Q12706,12,L'ultimo volo della Protostar: Parte 2,23min,23,"Chakotay e i cadetti escogitano un piano audace e pericoloso per rilanciare la Protostar. Prima di poter volare, però, l'astronave dovrà navigare."
Q12707,13,Triboli fuori misura,24min,24,L'equipaggio raccoglie bosonite in un arido pianeta e s'imbatte in aggressivi triboli geneticamente modificati e nello scienziato Klingon che li ha creati.
Q12708,14,Lo specchio incrinato,24min,24,"Il ricongiungimento della Protostar con la Voyager ha effetti collaterali inaspettati, facendo rimbalzare l'equipaggio tra realtà alternative, compreso l'Universo dello specchio."
Q12709,15,L'ascesa di Asencia: Parte 1,24min,24,"Proprio mentre gli equipaggi della Protostar e della Voyager stanno per concludere la loro missione, un ex nemico riappare all'improvviso con nuovi poteri sorprendenti."
Q12710,16,L'ascesa di Asencia: Parte 2,22min,22,"Sopraffatti dalle armi misteriosamente avanzate di Asencia, gli equipaggi della Protostar e della Voyager corrono una serie di rischi calcolati che mettono in pericolo i cadetti."
Q12711,17,Sull'orlo,24min,24,La guerra tra la Federazione e Solum incombe e Gwyn propone di guidare i cadetti in una missione sotto copertura per raccogliere informazioni e salvare Ilthuran.
Q12713,18,Un tocco di grigio,23min,23,"L'ammiraglio Janeway escogita un piano ingegnoso per liberare l'equipaggio dalla prigione di Asencia, dove è intrappolato anche un Loom furioso."
Q12714,19,Ouroboros: Parte 1,24min,24,"Asencia è disperata e sferra un potente attacco alla Federazione che distruggerà il subspazio, mentre Wesley e i cadetti cercano di correggere la linea temporale."
Q12715,20,Ouroboros: Parte 2,24min,24,"I cadetti combattono contro Asencia in una battaglia per il controllo di Solum e del futuro, ma l'improvvisa invasione di una specie distruttiva complica la partita finale."
