"titolo","idpagina","idsezione","tagpagina","0_titolo_pagina","2_htpaginaid"
"","10","6","main",\N,\N
"3947","9217","350","3947",\N,\N
"404 - La pagina che cerchi non esiste più","10291","0","404",\N,\N
"<i>Earhart</i>","5684","202","earhart",\N,\N
"<i>Jupiter</i>","5682","202","jupiter",\N,\N
"<i>Lya III</i>","5680","202","lya3",\N,\N
"<i>USS Appalacia</i> NCC-52136","361","293","assfksteamrunnerappalacia",\N,\N
"<i>USS Challenger</i> NCC-71099","537","266","usschallenger71099",\N,\N
"<i>USS Enterprise</i> NCC-1701-B","552","264","assfkexcelsiorenterpriseb",\N,\N
"<i>USS Enterprise</i> NCC-1701-D","576","266","assfenterprised",\N,\N
"<i>USS Excelsior</i> NCC-2000","554","264","assfkexcelsiorexcelsior",\N,\N
"<i>USS Excelsior</i> NX-2000","553","264","assfkexcelsiorexcelsiornx",\N,\N
"<i>USS Farragut</i> NCC-1647","619","259","assfkconstitutionfarragut",\N,\N
"<i>USS Pasteur</i> NCC-58928","472","406","usspasteur58928",\N,\N
"<i>USS Titan</i>","10411","42","assftitan",\N,\N
"<i>USS Yosemite</i> NCC-19002","480","282","assfkoberthyosemite",\N,\N
"Accademia della Flotta Stellare","3296","30","accademia",\N,\N
"Aluura","8980","93","aluura",\N,\N
"Alyce Andrece","6957","176","andrecealyce",\N,\N
"Amanda Carlin","8524","178","carlinamanda",\N,\N
"Amanda Cole","6557","95","coleamanda",\N,\N
"Andrea Sanavia","4676","194","sanaviaandrea",\N,\N
"Andrew Bicknell","7572","177","bicknellandrew",\N,\N
"Andrew Kavovit","8829","186","kavovitandrew",\N,\N
"Andrew Kim","9367","404","kimandrew",\N,\N
"Andrew Powell","3202","108","powellandrew",\N,\N
"Andrew Stiles","1855","111","stilesandrew",\N,\N
"Andy Simonson","1874","111","simonsonandy",\N,\N
"Angelique Pettyjohn","6992","191","pettyjohnangelique",\N,\N
"Animazina","3649","58","animazina",\N,\N
"Ann Chatterton","9891","178","chattertonann",\N,\N
"Ann Mulhall","3181","105","mulhallann",\N,\N
"Annette","7618","93","annette",\N,\N
"Annie Wersching","6189","198","werschingannie",\N,\N
"Annika Hansen","9550","100","hansenannika",\N,\N
"Anthwara","8251","93","anthwara",\N,\N
"Antoniette Stella","7153","194","stellaantoniette",\N,\N
"Antonio","9208","93","antonio",\N,\N
"Apocalypse Rising","2478","1","dsn099",\N,\N
"April Anaya","2229","93","anayaapril",\N,\N
"Attracco spaziale terrestre","5664","202","spacedock",\N,\N
"Base stellare 105","5724","202","bs105",\N,\N
"Base stellare 11","5734","202","bs11",\N,\N
"Base stellare 12","5736","202","bs12",\N,\N
"Base stellare 47","5762","202","bs47",\N,\N
"Benny Russell","8986","110","russellbenny",\N,\N
"Birra di Toba","5859","203","bebirratoba",\N,\N
"Birra maralziana","10440","203","birramaralziana",\N,\N
"Caitiani","10776","123","caitiani",\N,\N
"Cantiere navale di 40 Eridani-A","5760","202","cn40eridania",\N,\N
"Classe <i>Excelsior</i>","315","264","assfkexcelsior",\N,\N
"Classe <i>Intrepid</i>","319","268","assfkintrepid",\N,\N
"Classe <i>Surak</i>","344","294","assfksurak",\N,\N
"Classe <i>Suurok</i>","10882","217","classesuurok",\N,\N
"Coming of Age","2573","21","tng019",\N,\N
"Ducane","9423","96","ducane",\N,\N
"Edward Jellico","3114","102","jellicoedward",\N,\N
"Emettitore olografico portatile","5180","32","emettitoreoloportatile",\N,\N
"Gral","6658","99","gral",\N,\N
"Hansen","2097","100","hansen",\N,\N
"Jason Alexander","9453","176","alexanderjason",\N,\N
"Judy Levitt","1334","187","levittjudy",\N,\N
"Kirk Thatcher","9971","195","thatcherkirk",\N,\N
"Leah Brahms","7628","94","brahmsleah",\N,\N
"Legenda","9554","9","legenda",\N,\N
"Log delle modifiche","10782","9","logmodifiche",\N,\N
"Mailing list","3315","9","mailinglist",\N,\N
"Maurice Picard","8099","108","picardmaurice",\N,\N
"NCC-14427","573","264","assfkexcelsiorncc14427",\N,\N
"Noonien Soong","1861","111","soongnoonien",\N,\N
"Nuvola delle pagine","10800","9","nuvolapagine",\N,\N
"Omega Sagitta","10341","334","omegasagitta",\N,\N
"Ordine Generale 7","3761","62","ordinegenerale7",\N,\N
"Origini e scopi della Flotta Stellare","3294","30","originiflotta",\N,\N
"Personaggi ricorrenti della Serie Classica","8547","352","tosrecurring",\N,\N
"Personaggi ricorrenti di <i>Deep Space Nine</i>","8549","345","dsnrecurring",\N,\N
"Personaggi ricorrenti di <i>Enterprise</i>","8546","320","entrecurring",\N,\N
"Personaggi ricorrenti di <i>The Next Generation</i>","8548","340","tngrecurring",\N,\N
"Personaggi ricorrenti di <i>Voyager</i>","8550","349","voyrecurring",\N,\N
"Promozione","5671","9","promozione",\N,\N
"Qualor II","4273","165","qualor2",\N,\N
"Ronny Cox","10289","178","coxronny",\N,\N
"Saavik","1895","111","saavik",\N,\N
"Skin di HyperTrek","10768","9","skin",\N,\N
"Sonya Gomez","3079","99","gomezsonya",\N,\N
"Star Trek: Insurrection","7542","23","film09",\N,\N
"Statistiche del sito","127","9","statistiche",\N,\N
"Symbiosis","2576","21","tng022",\N,\N
"Tasia Valenza","7254","197","valenzatasia",\N,\N
"Tau Ceti III","4310","168","tauceti3",\N,\N
"Tau Ceti Prime","4311","168","taucetiprime",\N,\N
"test","10410","0","test",\N,\N
"Thadiun Okona","7471","107","okonathadiun",\N,\N
"Thomas Alexander Dekker","10041","179","dekkerthomasalexander",\N,\N
"Tim Russ","1552","193","russtim",\N,\N
