0-Titolo originale,1-DataTrek Item,2-Codice TNG Companion,3-Data di pubblicazione in Italia,4-Data di pubblicazione originale,5-DVD europeo,6-Numero di produzione,7-Regista,8-Regista Q,9-Sceneggiatura,10-Sceneggiatura Q,11-Storia,12-Storia Q,13-Sequenza di trasmissione,14-Stagione,15-Titolo ES,16-Titolo FR,17-Titolo italiano,18-Titolo JP,19-Titolo tedesco,20-VHS britannica,21-Music by,22-Music by Q,23-Precedente,24-Precedente Q,25-Successivo
Contagion,Q2010,cg,1994-12-07,1989-03-20,3,137,Joseph L. Scanlan,Q4635,,,"Beth Woods (woodsbeth),Steve Gerber","Q1189,Q10312",37,2,,Contagion,Contagio,Umoreta Bunmei (Buried Civilization),Die Iconia Sonden (La sonda iconiana),19 (U),Dennis McCarthy,Q2471,The Dauphin,Q9102,Q9234
Timescape,Q9393,tms,1996-07-25,1993-06-14,,251,Adam Nimoy,Q199,,,Brannon Braga,Q1365,151,6,Marco de tiempo,Arrêt sur image,Frammenti di tempo,Jiku Waikyoku-chitai (Spacetime Distortion Area),Gefangen in einem temporären Fragment,76 (PG),Dennis McCarthy,Q2471,Second Chances,Q8117,Q2491
Cause and Effect,Q1657,ce,1995-03-22,1992-03-23,5,218,Jonathan Frakes,Q53,,,Brannon Braga,Q1365,118,5,Causa y efecto,Cause et effet,Circolo chiuso,Kyoufu no Uchu-jikan-renzoku-tai (Terrible Space-time Continuum),Déjà Vu,59 (PG),Dennis McCarthy,Q2471,The Outcast,Q9207,Q9135
Phantasms,Q7154,ph,1997-09-02,1993-10-25,,258,Patrick Stewart,Q7002,,,Brannon Braga,Q1365,158,7,Fantasmas,Cauchemars,Programma: sogno,Senritsu no Dream Program (Terrifying Dream Program),Traumanalyse,79 (PG),Dennis McCarthy,Q2471,Gambit - Part II,Q3310,Q2237
Parallels,Q6954,pa,1997-09-08,1993-11-29,,263,Robert Wiemer,Q7781,,,Brannon Braga,Q1365,163,7,Paralelos,Parallèle,Universi paralleli,Mugen no Parallel World (Infinite Parallel World),Parallelen,82 (U),Dennis McCarthy,Q2471,Inheritance,Q3957,Q9212
"Elementary, Dear Data",Q2805,ed,1994-12-08,1988-12-05,1,129,Rob Bowman,Q7704,,,Brian Alan Lane,Q1398,29,2,"Elemental, querido Data",Elémentaire mon cher Data,"Elementare, caro Data",Hologram Deck no Hangyaku-sha (Rebel in Hologram Deck),Sherlock Data Holmes,15 (U),Dennis McCarthy,Q2471,Where Silence Has Lease,Q10027,Q9208
Clues,Q1957,cl,1995-02-14,1991-02-11,4,188,Les Landau,Q5378,"Joe Menosky,Bruce D. Arthurs","Q4422,Q1460",Bruce D. Arthurs,Q1460,88,4,Pistas,Indices,Indizi,Kuhaku no Ichinichi (A Blank Day),Beweise,44 (PG),Dennis McCarthy,Q2471,Devil's Due,Q2504,Q3137
Hide And Q,Q3778,hq,1992-07-13,1987-11-23,3,111,Cliff Bole,Q1941,Gene Roddenberry,Q3396,C.J. Holland,,10,1,La tentación de Q,Dans la peau de Q,Il ritorno di Q,Shi no Game (Deadly Game),Rikers Versuchung (La tentazione di Riker),5 (PG),Dennis McCarthy,Q2471,The Battle,Q9065,Q3704
Thine Own Self,Q9310,th,1997-09-13,1994-02-14,,268,Winrich Kolbe,Q10098,Ronald D. Moore,Q7854,Christopher Hatton,Q1815,168,7,Tu propio,Contamination,Radioattività,Kioku-soushitsu no Android (Android of Memory Blackout),Radioaktiv,84 (PG),Dennis McCarthy,Q2471,Lower Decks,Q5547,Q6071
Future Imperfect,Q3259,fi,1995-02-07,1990-11-12,2,182,Les Landau,Q5378,,,"David Bennett Carren,J. Larry Carroll","Q2276,Q4029",82,4,Futuro imperfecto,Futur imparfait,Futuro imperfetto,Akumu no Hologram (Hologram of Nightmare),Gedächtnisverlust,41 (PG),Dennis McCarthy,Q2471,Reunion,Q7574,Q3127
Peak Performance,Q7076,pk,1994-12-29,1989-07-10,7,147,Robert Scheerer,Q7770,,,David Kemper,Q2309,47,2,,Jeux de guerre,Una perfetta strategia,Kagirinaki Tatakai (Unlimited Fight),Galavorstellung (Esibizione di gala),24 (PG),Dennis McCarthy,Q2471,The Emissary,Q9115,Q8168
The Enemy,Q9119,en,1995-01-07,1989-11-06,2,155,David Carson,Q2284,,,"David Kemper,Michael Piller","Q2309,Q6295",55,3,El enemigo,L'ennemi,Il nemico,Shukuteki! Romulan Teikoku (Enemy! Romulan Empire),Auf schmalem Grat,28 (PG),Dennis McCarthy,Q2471,Booby Trap,Q1314,Q9217
